Store,Store_Num,Store_name,Latitude,Longitude,Store_Address,Zip,Store_Phone_Num
Walmart,4060,Tempe Walmart,33.414323,-111.929432,"671 E Apache Blvd, Tempe, AZ",85281,(480) 967-2237
Walmart,5768,Tempe Walmart Supercenter,33.39392,-111.92791,"800 E Southern Ave, Tempe, AZ",85282,(480) 966-0264
Walmart,2482,Mesa Walmart Supercenter,33.431942,-111.865295,"857 N Dobson Rd, Mesa, AZ",85201,(480) 962-0038
Walmart,2515,Phoenix Walmart Supercenter,33.478722,-112.000982,"3721 E Thomas Rd, Phoenix, AZ",85018,(602) 685-0555
Walmart,1746,Tempe Walmart Supercenter,33.35103,-111.960968,"1380 W Elliot Rd, Tempe, AZ",85284,(480) 345-8686
Walmart,4293,Phoenix Walmart Neighborhood Market,33.376046,-112.029277,"2435 E Baseline Rd, Phoenix, AZ",85042,(602) 232-2115
Walmart,2112,Scottsdale Walmart Supercenter,33.507771,-111.889315,"4915 N Pima Rd, Scottsdale, AZ",85251,(480) 941-0333
Walmart,3799,Mesa Walmart Supercenter,33.380761,-111.83672,"240 W Baseline Rd, Mesa, AZ",85210,(480) 668-9501
Walmart,5332,Mesa Walmart Neighborhood Market,33.452481,-111.81464,"730 E Mckellips Rd, Mesa, AZ",85203,(480) 964-2347
Walmart,1512,Chandler Walmart Supercenter,33.337731,-111.854681,"800 W Warner Rd, Chandler, AZ",85225,(480) 786-0062
Walmart,2768,Mesa Walmart Supercenter,33.380445,-111.802765,"1955 S Stapley Dr, Mesa, AZ",85204,(480) 892-9009
Walmart,6480,Chandler Walmart,33.3078755,-111.9016321,"3460 W. Chandler Boulevard, Chandler, AZ",85226,(480) 333-2654
Walmart,2657,Chandler Walmart Neighborhood Market,33.303752,-111.947348,"6085 W Chandler Blvd, Chandler, AZ",85226,(480) 477-0212
Walmart,3846,Mesa Walmart Neighborhood Market,33.449316,-111.772239,"2725 E Mckellips Rd, Mesa, AZ",85213,(480) 733-1679
Walmart,5304,Mesa Walmart Neighborhood Market,33.38032,-111.772934,"1916 S Lindsay Rd, Mesa, AZ",85204,(480) 892-6085
Walmart,4324,Chandler Walmart Neighborhood Market,33.30784,-111.808474,"1900 E Chandler Blvd, Chandler, AZ",85225,(480) 448-4322
Walmart,2671,Chandler Walmart Supercenter,33.289278,-111.838011,"1175 S Arizona Ave, Chandler, AZ",85286,(480) 726-0841
Walmart,2113,Phoenix Walmart Supercenter,33.521957,-112.092708,"1607 W Bethany Home Rd, Phoenix, AZ",85015,(602) 246-1700
Walmart,5428,Mesa Walmart Supercenter,33.384526,-111.739644,"1710 S Greenfield Rd, Mesa, AZ",85206,(480) 892-3814
Walmart,3771,Phoenix Walmart Supercenter,33.39053,-112.136887,"6150 S 35Th Ave, Phoenix, AZ",85041,(602) 243-8506
Walmart,2767,Mesa Walmart Supercenter,33.449105,-111.733671,"4505 E Mckellips Rd, Mesa, AZ",85215,(480) 641-6728
Walmart,4232,Phoenix Walmart Supercenter,33.596146,-111.978633,"4747 E Cactus Rd, Phoenix, AZ",85032,(602) 404-3712
Walmart,2632,Phoenix Walmart Neighborhood Market,33.566489,-112.072193,"115 E Dunlap Ave, Phoenix, AZ",85020,(480) 754-8043
Walmart,5257,Mesa Walmart Neighborhood Market,33.424031,-111.72059,"5122 E University Dr, Mesa, AZ",85205,(480) 832-9484
Walmart,3360,Chandler Walmart Supercenter,33.281575,-111.793378,"2750 E Germann Rd, Chandler, AZ",85286,(480) 812-2930
Walmart,5330,Phoenix Walmart Supercenter,33.526877,-112.132538,"6145 N 35Th Ave, Phoenix, AZ",85017,(602) 973-0774
Walmart,1646,Mesa Walmart Supercenter,33.391531,-111.699115,"6131 E Southern Ave, Mesa, AZ",85206,(480) 830-3919
Walmart,2766,Scottsdale Walmart Supercenter,33.624679,-111.893377,"15355 N Northsight Blvd, Scottsdale, AZ",85260,(480) 348-5505
Walmart,5186,Gilbert Walmart Supercenter,33.304999,-111.741012,"2501 S Market St, Gilbert, AZ",85295,(480) 224-6900
Walmart,5189,Phoenix Walmart Supercenter,33.49645996,-112.17264556,"5250 W Indian School Rd, Phoenix, AZ",85031,(623) 845-8713
Walmart,1598,Phoenix Walmart Supercenter,33.63843,-111.981841,"4617 E Bell Rd, Phoenix, AZ",85032,(602) 482-7575
Walmart,3861,Gilbert Walmart Supercenter,33.319619,-111.689643,"5290 S Power Rd, Gilbert, AZ",85295,(480) 988-0012
Walmart,5124,Glendale Walmart Supercenter,33.551186,-112.179904,"5605 W Northern Ave, Glendale, AZ",85301,(623) 934-6920
