Store_name,Location_type,Latitude,Longitude,Store_Address,Zip
Tempe Walmart,Store,33.414323,-111.929432,"671 E Apache Blvd, Tempe, AZ",85281
Tempe Walmart Supercenter,Store,33.39392,-111.92791,"800 E Southern Ave, Tempe, AZ",85282
Mesa Walmart Supercenter,Store,33.431942,-111.865295,"857 N Dobson Rd, Mesa, AZ",85201
Phoenix Walmart Supercenter,Store,33.478722,-112.000982,"3721 E Thomas Rd, Phoenix, AZ",85018
Tempe Walmart Supercenter,Store,33.35103,-111.960968,"1380 W Elliot Rd, Tempe, AZ",85284
Phoenix Walmart Neighborhood Market,Store,33.376046,-112.029277,"2435 E Baseline Rd, Phoenix, AZ",85042
Scottsdale Walmart Supercenter,Store,33.507771,-111.889315,"4915 N Pima Rd, Scottsdale, AZ",85251
Mesa Walmart Supercenter,Store,33.380761,-111.83672,"240 W Baseline Rd, Mesa, AZ",85210
Mesa Walmart Neighborhood Market,Store,33.452481,-111.81464,"730 E Mckellips Rd, Mesa, AZ",85203
Chandler Walmart Supercenter,Store,33.337731,-111.854681,"800 W Warner Rd, Chandler, AZ",85225
Mesa Walmart Supercenter,Store,33.380445,-111.802765,"1955 S Stapley Dr, Mesa, AZ",85204
Chandler Walmart,Store,33.3078755,-111.9016321,"3460 W. Chandler Boulevard, Chandler, AZ",85226
Chandler Walmart Neighborhood Market,Store,33.303752,-111.947348,"6085 W Chandler Blvd, Chandler, AZ",85226
Mesa Walmart Neighborhood Market,Store,33.449316,-111.772239,"2725 E Mckellips Rd, Mesa, AZ",85213
Chandler Walmart Neighborhood Market,Store,33.30784,-111.808474,"1900 E Chandler Blvd, Chandler, AZ",85225
Phoenix Walmart Supercenter,Store,33.521957,-112.092708,"1607 W Bethany Home Rd, Phoenix, AZ",85015
Mesa Walmart Supercenter,Store,33.384526,-111.739644,"1710 S Greenfield Rd, Mesa, AZ",85206
Phoenix Walmart Supercenter,Store,33.39053,-112.136887,"6150 S 35Th Ave, Phoenix, AZ",85041
Mesa Walmart Supercenter,Store,33.449105,-111.733671,"4505 E Mckellips Rd, Mesa, AZ",85215
Phoenix Walmart Supercenter,Store,33.596146,-111.978633,"4747 E Cactus Rd, Phoenix, AZ",85032
Phoenix Walmart Neighborhood Market,Store,33.566489,-112.072193,"115 E Dunlap Ave, Phoenix, AZ",85020
Mesa Walmart Neighborhood Market,Store,33.424031,-111.72059,"5122 E University Dr, Mesa, AZ",85205
Chandler Walmart Supercenter,Store,33.281575,-111.793378,"2750 E Germann Rd, Chandler, AZ",85286
Phoenix Walmart Supercenter,Store,33.526877,-112.132538,"6145 N 35Th Ave, Phoenix, AZ",85017
Mesa Walmart Supercenter,Store,33.391531,-111.699115,"6131 E Southern Ave, Mesa, AZ",85206
Scottsdale Walmart Supercenter,Store,33.624679,-111.893377,"15355 N Northsight Blvd, Scottsdale, AZ",85260
Gilbert Walmart Supercenter,Store,33.304999,-111.741012,"2501 S Market St, Gilbert, AZ",85295
Phoenix Walmart Supercenter,Store,33.49645996,-112.1726456,"5250 W Indian School Rd, Phoenix, AZ",85031
Phoenix Walmart Supercenter,Store,33.63843,-111.981841,"4617 E Bell Rd, Phoenix, AZ",85032
Gilbert Walmart Supercenter,Store,33.319619,-111.689643,"5290 S Power Rd, Gilbert, AZ",85295
Glendale Walmart Supercenter,Store,33.551186,-112.179904,"5605 W Northern Ave, Glendale, AZ",85301
Phoenix Walmart Supercenter,Store,33.4204018,-112.2231893,"7575 W Lower Buckeye Rd, Phoenix, AZ",85043
Glendale Walmart Neighborhood Market,Store,33.5647729,-112.1700005,"5137 W Olive Ave, Glendale, AZ",85302
Phoenix Walmart Supercenter,Store,33.470806,-112.223505,"2020 N 75Th Ave, Phoenix, AZ",85035
Mesa Walmart Neighborhood Market,Store,33.363017,-111.654204,"8335 E Guadalupe Rd, Mesa, AZ",85212
Phoenix Walmart Supercenter,Store,33.637216,-112.098055,"1825 W Bell Rd, Phoenix, AZ",85023
Glendale Walmart Neighborhood Market,Store,33.539296,-112.218862,"7450 W Glendale Ave, Glendale, AZ",85303
Glendale Walmart Neighborhood Market,Store,33.5802237,-112.2019234,"6645 W Peoria Ave, Glendale, AZ",85302
Mesa Walmart Supercenter,Store,33.38506,-111.599933,"1606 S Signal Butte Rd, Mesa, AZ",85209
Glendale Walmart Supercenter,Store,33.51025,-112.267293,"5010 N 95Th Ave, Glendale, AZ",85305
Peoria Walmart Supercenter,Store,33.5784583,-112.2303209,"7975 W Peoria Ave, Peoria, AZ",85345
Glendale Walmart Neighborhood Market,Store,33.656074,-112.150364,"4230 W Union Hills Dr, Glendale, AZ",85308
Glendale Walmart Supercenter,Store,33.636517,-112.184744,"5845 W Bell Rd, Glendale, AZ",85308
Peoria Walmart Neighborhood Market,Store,33.609159,-112.21834,"7421 West Thunderbird Road, Peoria, AZ",85381
Apache Junction Walmart Supercenter,Store,33.413821,-111.5753437,"2555 W Apache Trl, Apache Junction, AZ",85120
Queen Creek Walmart Supercenter,Store,33.251461,-111.629508,"21055 E Rittenhouse Rd, Queen Creek, AZ",85142
Phoenix Walmart Supercenter,Store,33.7083498,-112.1129733,"2501 W Happy Valley Rd Ste 34, Phoenix, AZ",85085
Glendale Walmart Supercenter,Store,33.65067,-112.234138,"18551 N 83Rd Ave, Glendale, AZ",85308
Avondale Walmart Supercenter,Store,33.459141,-112.3381,"13055 W Rancho Santa Fe Blvd, Avondale, AZ",85392
Goodyear Walmart Neighborhood Market,Store,33.4871959,-112.3644107,"14200 W Indian School Rd, Goodyear, AZ",85395
Glendale Walmart Neighborhood Market,Store,33.713791,-112.201314,"6550 West Happy Valley Rd, Glendale, AZ",85310
Cave Creek Walmart Supercenter,Store,33.796641,-111.962216,"34399 N Cave Creek Rd, Cave Creek, AZ",85331
Peoria Walmart Supercenter,Store,33.680298,-112.276167,"21655 N Lake Pleasant Pkwy, Peoria, AZ",85382
El Mirage Walmart Supercenter,Store,33.610608,-112.33649,"12900 W Thunderbird Rd, El Mirage, AZ",85335
Goodyear Walmart Supercenter,Store,33.459558,-112.395288,"1100 N Estrella Pkwy, Goodyear, AZ",85338
San Tan Valley Walmart Supercenter,Store,33.176395,-111.584612,"1725 W Hunt Hwy, San Tan Valley, AZ",85143
Maricopa Walmart Supercenter,Store,33.039071,-112.014193,"41650 W Maricopa Casa Grande H, Maricopa, AZ",85138
Surprise Walmart Supercenter,Store,33.642779,-112.358141,"13770 W Bell Rd, Surprise, AZ",85374
Surprise Walmart Neighborhood Market,Store,33.622677,-112.392434,"15431 W Greenway Rd, Surprise, AZ",85374
Surprise Walmart Supercenter,Store,33.612439,-112.420708,"14111 N Prasada Gateway Ave, Surprise, AZ",85388
Anthem Walmart Supercenter,Store,33.869614,-112.154941,"4435 W Anthem Way, Anthem, AZ",85086
Buckeye Walmart Supercenter,Store,33.436922,-112.560303,"1060 S Watson Rd, Buckeye, AZ",85326
