POI_Name,POI_Type,Store_Lat,Store_Lng
Jimmy John's,restaurant cafe bakery,33.414323,-111.929432
Whataburger,restaurant cafe bakery,33.414323,-111.929432
McDonald's,restaurant cafe bakery,33.414323,-111.929432
Taco Bell,restaurant cafe bakery,33.414323,-111.929432
Domino's Pizza,restaurant cafe bakery,33.414323,-111.929432
Vine Tavern & Eatery,restaurant cafe bakery,33.414323,-111.929432
Thai Basil,restaurant cafe bakery,33.414323,-111.929432
Sal's Pizza,restaurant cafe bakery,33.414323,-111.929432
A Bear's Den,restaurant cafe bakery,33.414323,-111.929432
French Fry Heaven,restaurant cafe bakery,33.414323,-111.929432
SUBWAY® Restaurants,restaurant cafe bakery,33.414323,-111.929432
El Pollo Loco,restaurant cafe bakery,33.414323,-111.929432
Costa Vida Fresh Mexican Grill,restaurant cafe bakery,33.414323,-111.929432
NY Bagels,restaurant cafe bakery,33.414323,-111.929432
Osaka Grill,restaurant cafe bakery,33.414323,-111.929432
MOXY Phoenix Tempe/ASU Area,restaurant cafe bakery,33.414323,-111.929432
Dutch Bros,restaurant cafe bakery,33.414323,-111.929432
NY Bagels,restaurant cafe bakery,33.414323,-111.929432
NY Bagels,restaurant cafe bakery,33.414323,-111.929432
Walmart Pharmacy,hospital pharmacy,33.414323,-111.929432
Chase Bank,bank atm,33.414323,-111.929432
JPMorgan Chase,bank atm,33.414323,-111.929432
ATM Arizona State Cu,bank atm,33.414323,-111.929432
Chase Bank,bank atm,33.414323,-111.929432
JPMorgan Chase,bank atm,33.414323,-111.929432
MidFirst Bank ATM,bank atm,33.414323,-111.929432
ATM,bank atm,33.414323,-111.929432
MidFirst Bank ATM,bank atm,33.414323,-111.929432
MidFirst Bank ATM,bank atm,33.414323,-111.929432
MidFirst Bank ATM,bank atm,33.414323,-111.929432
Ultron,bank atm,33.414323,-111.929432
ATM Arizona State Cu,bank atm,33.414323,-111.929432
MidFirst Bank ATM,bank atm,33.414323,-111.929432
ATM,bank atm,33.414323,-111.929432
MidFirst Bank ATM,bank atm,33.414323,-111.929432
Chevron,gas_station,33.414323,-111.929432
MOXY Phoenix Tempe/ASU Area,night_club bar,33.414323,-111.929432
Vine Tavern & Eatery,night_club bar,33.414323,-111.929432
A Bear's Den,night_club bar,33.414323,-111.929432
MOXY Phoenix Tempe/ASU Area,night_club bar,33.414323,-111.929432
Jimmy John's,restaurant cafe bakery,33.39392,-111.92791
Culver's,restaurant cafe bakery,33.39392,-111.92791
Starbucks,restaurant cafe bakery,33.39392,-111.92791
Fry's Food And Drug,restaurant cafe bakery,33.39392,-111.92791
The Little Clinic,hospital pharmacy,33.39392,-111.92791
CVS Pharmacy,hospital pharmacy,33.39392,-111.92791
"Whitney M. Rice, PharmD",hospital pharmacy,33.39392,-111.92791
Walmart Pharmacy,hospital pharmacy,33.39392,-111.92791
"Ezekiel M. Baker, PharmD",hospital pharmacy,33.39392,-111.92791
Fry's Pharmacy,hospital pharmacy,33.39392,-111.92791
