POI_Name,Location_Type,Store_Lat,Store_Lng,Vicinity
Jimmy John's,POI,33.414323,-111.929432,"681 East Apache Boulevard #102, Tempe"
Whataburger,POI,33.414323,-111.929432,"1346 South Rural Road, Tempe"
McDonald's,POI,33.414323,-111.929432,"1205 South Rural Road, Tempe"
Taco Bell,POI,33.414323,-111.929432,"912 East Apache Boulevard, Tempe"
Domino's Pizza,POI,33.414323,-111.929432,"681 East Apache Boulevard #104, Tempe"
Vine Tavern & Eatery,POI,33.414323,-111.929432,"801 East Apache Boulevard, Tempe"
Thai Basil,POI,33.414323,-111.929432,"1111 South Rural Road, Tempe"
Sal's Pizza,POI,33.414323,-111.929432,"922 E Apache Blvd, Tempe"
A Bear's Den,POI,33.414323,-111.929432,"925 East Apache Boulevard, Tempe"
French Fry Heaven,POI,33.414323,-111.929432,"681 East Apache Boulevard #103, Tempe"
SUBWAY® Restaurants,POI,33.414323,-111.929432,"751 East Lemon Street, Tempe"
El Pollo Loco,POI,33.414323,-111.929432,"1314 South Rural Road, Tempe"
Costa Vida Fresh Mexican Grill,POI,33.414323,-111.929432,"1324 South Rural Road, Tempe"
NY Bagels,POI,33.414323,-111.929432,"922 East Apache Boulevard #106, Tempe"
Osaka Grill,POI,33.414323,-111.929432,Tempe
MOXY Phoenix Tempe/ASU Area,POI,33.414323,-111.929432,"1333 South Rural Road, Tempe"
Dutch Bros,POI,33.414323,-111.929432,"1037 South Rural Road, Tempe"
NY Bagels,POI,33.414323,-111.929432,"922 East Apache Boulevard #106, Tempe"
NY Bagels,POI,33.414323,-111.929432,"922 East Apache Boulevard #106, Tempe"
Walmart Pharmacy,POI,33.414323,-111.929432,"671 East Apache Boulevard, Tempe"
Chase Bank,POI,33.414323,-111.929432,"922 East Apache Boulevard #105, Tempe"
JPMorgan Chase,POI,33.414323,-111.929432,"525 E Orange St Tempe, Tempe"
ATM Arizona State Cu,POI,33.414323,-111.929432,"1551 South Rural Road, Tempe"
Chase Bank,POI,33.414323,-111.929432,"922 East Apache Boulevard #105, Tempe"
JPMorgan Chase,POI,33.414323,-111.929432,"525 E Orange St Tempe, Tempe"
MidFirst Bank ATM,POI,33.414323,-111.929432,"1201 South McAllister Avenue, Tempe"
ATM,POI,33.414323,-111.929432,"1201 South McAllister Avenue, Tempe"
MidFirst Bank ATM,POI,33.414323,-111.929432,"711 E. Lemmon St., Tempe"
MidFirst Bank ATM,POI,33.414323,-111.929432,"400 East Apache Boulevard, Tempe"
MidFirst Bank ATM,POI,33.414323,-111.929432,"1480 South Rural Road, Tempe"
Ultron,POI,33.414323,-111.929432,"1101 South Rural Road, Tempe"
ATM Arizona State Cu,POI,33.414323,-111.929432,"1551 South Rural Road, Tempe"
MidFirst Bank ATM,POI,33.414323,-111.929432,"1551 South Rural Road, Tempe"
ATM,POI,33.414323,-111.929432,"501 East Orange Street, Tempe"
